PropertyReferenceID,Name,Address,PostcodeZip,Telephone,Fax,Resort,ResortID,Region,RegionID,Country,PropertyType,Rating,Latitude,Longitude
234,Hotel Regina Cristina,"Via Federico Serena, 20",80073,+39 081 8370744,+39 081 8370550,Capri,52,Capri Island,69,Italy,Hotel,4,40.54927,14.24422
235,Relais Maresca Luxury Small Hotel,"Via Provinciale Marina Grande, 284",80073,+39 081 8379619,+39 081 8374070,Capri,52,Capri Island,69,Italy,Hotel,4,40.55612,14.23842
236,Hotel Villa San Felice,"Via Li Campi, 13",80073,+39 081 8376122,+39 081 8378264,Capri,52,Capri Island,69,Italy,Hotel,4,40.54954,14.24385
238,Lu' Hotel,Via Costituente Snc,09013,+39 0781 665020,+39 0781 674240,Carbonia,5,Cagliari & Vicinity,8943,Italy,Hotel,4,39.16748,8.51633
240,Masseria Caselli Relais,S.P. 35 Contrada Caselli/Specchiolla,72012,+39 0831 987726,+39 0831 987727,Carovigno,44,Salento,77,Italy,Hotel,4,40.71948,17.73511
242,Riva Marina Resort,Via Della Pineta,72012,+39 0832 351321,+39 0832 093802,Carovigno,44,Salento,77,Italy,Villaggio,4,40.73414,17.73308
243,Donna Carmela Resort & Lodges,"Contrada Grotte, 7",95010,+39 095 809383,+39 095800643,Riposto,468,Sicily,3,Italy,Dimora di Charme,0,37.67614,15.1795
250,Hotel Luna Convento,"Via Pantaleone Comite, 33",84011,+39 089 871002,+39 089 871333,Amalfi,151,Amalfi Coast,310,Italy,Hotel,4,40.63322,14.60669
252,Hotel Miramalfi,"Via Salvatore Quasimodo, 3",84011,+39 089 871588,+39 089 871287,Amalfi,151,Amalfi Coast,310,Italy,Hotel,5,40.63058,14.59469
260,Park Hotel Tyrrenian,"Via Stromboli, 227",87032,+39 0982 41673,+39 0982 428737,Amantea,155,Calabria Tirrenian Sea,405,Italy,Hotel,4,39.11721,16.07657
263,Tus' Hotel,C/da Torrazza Porto Marino Lotarello,98079,+39 0921 334527,+39 0921 4402 83,Tusa,316,Sicily,3,Italy,Hotel,4,38.00887,14.24702
266,Hotel Biancamaria,"Via G. Orlandi, 54",80071,+39 081 8371000,+39 081 8372060,Anacapri,57,Capri Island,69,Italy,Hotel,3,40.55566,14.2198
267,Hotel Paradiso Delle Madonie,"via Dante Alighieri, 82",90013,+39 0921 676197,+39 0921 673958,Castelbuono,138,Sicily,3,Italy,Hotel,4,37.93394,14.08997
268,Hotel Villa Blu Capri,via G. Orlandi 103,80071,+39 081 8373924,+39 081 8374922,Anacapri,57,Capri Island,69,Italy,Hotel,5,40.55542,14.2194
270,Arbatax Park Resort - Borgo Cala Moresca,Via Capri 61,08048,+39 0782 690590,+39 0782 667795,Arbatax,802,Cagliari & Vicinity,8943,Italy,Villaggio,4,39.92849,9.70921
271,4Canti Case Vacanze,"Corso Garibaldi, 76",91014,+39 0924 32254,+39 0924 32254,Castellammare del Golfo,132,Sicily,3,Italy,Case Vacanza,0,38.02603,12.88126
272,Arbatax Park Resort I Cottage,Via Capri 49,08048,+39 0782 690590,+39 0782 667795,Arbatax,802,Cagliari & Vicinity,8943,Italy,Villaggio,4,39.92597,9.71119
273,Arbatax Park Resort Le Dune,Via Capri 49,08048,+39 0782 667165,+39 0782 667795,Arbatax,802,Cagliari & Vicinity,8943,Italy,Villaggio,4,39.92623,9.71194
274,Hotel Al Madarig,"Piazza Petrolo, 7",91014,+39 092433533,+39 092433790,Castellammare del Golfo,132,Sicily,3,Italy,Hotel,3,38.02844,12.88265
275,Arbatax Park Resort Telis,Via Capri 49,08048,+39 0782 690590,+39 0782 667795,Arbatax,802,Cagliari & Vicinity,8943,Italy,Villaggio,4,39.92623,9.71194
276,Hotel Cetarium,"Via Don Luigi Zangata, 45",91014,+39 0924 533401,+39 0924 433416,Castellammare del Golfo,132,Sicily,3,Italy,Hotel,4,38.02851,12.88088
277,Hotel Club Saraceno,Località San Gemiliano,08048,+39 0782 667318,+39 0782 667621,Arbatax,802,Cagliari & Vicinity,8943,Italy,Villaggio,4,39.9213,9.70039
279,Hotel La Bitta,Località Porto Frailis,08048,+39 0782 667080,+39 0782 667228,Arbatax,802,Cagliari & Vicinity,8943,Italy,Hotel,4,39.92498,9.70597
280,Hotel Punta Nord Est,"Viale Leonardo da Vinci, 67",91014,+39 0924 30511,+39 092430713,Castellammare del Golfo,132,Sicily,3,Italy,Hotel,3,38.02547,12.88935
282,Borgo degli Ulivi Residence,"Via Porto Frailis, snc",08048,+39 0782 665018,+39 0782 664007,Arbatax,802,Cagliari & Vicinity,8943,Italy,Residence,0,39.93256,9.70615
285,Blau Monte Turri,Via Faro Bellavista,08048,+39 078 2667500,+39 0782667795,Arbatax,802,Cagliari & Vicinity,8943,Italy,Villaggio,4,39.93215,9.71109
286,Towers Hotel Stabiae Sorrento Coast,"S.S. Sorrentina, 145 - Km 12,40",80053,+39 081 3946700,+39 081 3946770,Castellammare di Stabia,93,Sorrento Coast,68,Italy,Hotel,4,40.6881,14.45164
287,Horse Country Resort Congress & Spa,"Strada a Mare 24, n.27",09092,+39 0783 80500,,Arborea,175,Cagliari & Vicinity,8943,Italy,Villaggio,4,39.79443,8.55347
288,Calanè Village,Strada Statale 106 km 466.600,74011,+39 085 836 9777,+39 099 8204950,Castellaneta,33,Central Apulia,76,Italy,Hotel,4,40.49629,16.95958
290,Hotel Parco degli Ulivi,Località Rena,07021,+39 0789 81888,+39 0789 844082,Arzachena,263,Olbia & Vicinity,6,Italy,Hotel,4,41.09747,9.39307
291,Alborèa Ecolodge Resort,s.s. 106 km 466.600,74010,+39 085 8369777,,Castellaneta,33,Central Apulia,76,Italy,Hotel,5,40.49711,16.96368
295,Hotel Venere,"Corso Elea, 149",84058,+39 0974 972146,+39 0974 972146,Ascea,234,Cilento,72,Italy,Hotel,3,40.14385,15.1674
296,Kalidria Hotel & Thalasso SPA,"SS 106 km 466,600",74010,+39 085 8369500,,Castellaneta,33,Central Apulia,76,Italy,Hotel Club,5,40.49881,16.96916
297,Olimpia Cilento Resort,Via delle Sirene,84046,+39 0974 972090,+39 0974 971464,Ascea,234,Cilento,72,Italy,Villaggio,4,40.1525,15.15908
303,Hotel La Baia,Via lung. Zirulia trav. Via Dettori,07031,+39 079 470999,+39 079 470669,Castelsardo,203,Alghero & Vicinity,8942,Italy,Hotel Club,3,40.91201,8.7251
304,LH Pedraladda Resort,"Via Zirulia, 50",07031,+39 079470383,+39 079470499,Castelsardo,203,Alghero & Vicinity,8942,Italy,Hotel,4,40.91251,8.72247
305,Residence La Baia,Via lung. Zirulia trav. Via Dettori,07031,+39 079 470669,+39 079 470669,Castelsardo,203,Alghero & Vicinity,8942,Italy,Residence,0,40.91201,8.7251
307,Agriturismo Case di Latomie,SS 115 dir. per Selinunte Km 0+500,91022,+39 0924 907727,+39 0924 905680,Castelvetrano - Selinunte,101,Sicily,3,Italy,Agriturismo,4,37.64448,12.82725
308,Althea Palace Hotel,"Via Caduti di Nassirya, SN",91022,+39 0924 904873,+39 0924 44336,Castelvetrano - Selinunte,101,Sicily,3,Italy,Hotel,4,37.66625,12.81513
318,La Felce Imperial Hotel,Via Panoramica,87023,+39 0985 876764,+39 0985 877370,Diamante,142,Calabria Tirrenian Sea,405,Italy,Hotel,4,39.68942,15.83469
321,Romano House,"Via Giovanni di Prima, 20",95121,+39 095 3520611,+39 095 3520611,Catania,54,Sicily,3,Italy,Hotel,4,37.50635,15.08938
326,Artemis Hotel,"Via Roma, 101",90015,+39 0921 421330,+39 0921 440922,Cefalu,137,Sicily,3,Italy,Hotel,4,38.03316,14.01611
328,Cefalù Sea Palace,Lungomare G. Giardina,90015,+39 0921 925011,+39 0921 420216,Cefalu,137,Sicily,3,Italy,Hotel,5,38.03391,14.01308
329,Hotel Baia del Capitano,C/da Mazzaforno,90015,+39 0921 420 003,+39 0921 420163,Cefalu,137,Sicily,3,Italy,Hotel,4,38.03018,13.97433
330,Hotel Santa Lucia e le Sabbie d'Oro,Contrada Santa Lucia SS 113,90015,+39 0921 421565,+39 0921 422213,Cefalu,137,Sicily,3,Italy,Hotel,4,38.0313181,14.0015924
331,Brunelleschi Hotel,"Piazza Santa Elisabetta, 3",50122,+39 055 27370,+39 055 219653,Duomo,372,Florence,137,Italy,Hotel,4,43.77172,11.25577
334,Hotel Cetus,Strada Statale 163,84010,+39 089 261388,+39 089 261388,Cetara,169,Amalfi Coast,310,Italy,Hotel,4,40.64964,14.7045
335,Baia dei Mulini Resort & SPA,Lungomare Dante Alighieri,91016,+39 0923 584111,+39  0923 567422,Erice,111,Sicily,3,Italy,Hotel,4,38.04085,12.54175
337,I Mulini Resort,Lungomare Dante Alighieri  7,91016,+39 0923 1816411,,Erice,111,Sicily,3,Italy,Hotel,4,38.0421,12.54186
339,Baia di Chia Resort Sardinia,"Viale Spartivento, 1",09010,+39 070 92373001,+39 0709230141,Chia,800,Cagliari & Vicinity,8943,Italy,Villaggio,5,38.89556,8.87027
340,Conrad Chia Laguna Sardinia,Viale Belvedere,09010,+39 070 92393000,+39 0709230141,Chia,800,Cagliari & Vicinity,8943,Italy,Hotel Club,5,38.89631,8.86908
342,Chia Laguna Hotel Village,Viale Belvedere,09010,+39 070 92391,+39 070 9230 141,Chia,800,Cagliari & Vicinity,8943,Italy,Villaggio,4,38.89634,8.86909
343,Veridia Resort,Viale Mediterraneo - Loc. Chia,09010,+39 070 923 0533,,Chia,800,Cagliari & Vicinity,8943,Italy,Hotel,4,38.90153,8.88714
345,Palazzo Alabardieri,"Via Alabardieri, 38",80121,+39 081 415278,+39 081 401478,Chiaia,334,Naples & Vicinity,73,Italy,Hotel,4,40.83474,14.24152
346,Agriturismo I Pozzetti,Contrada Pettolecchia,72015,+39 080 4829304,+39 080 4413571,Fasano,27,Central Apulia,76,Italy,Agriturismo,0,40.85348,17.40254
354,Masseria Torre Coccaro,C.da Coccaro 8,72015,+39 080 4829310,+39 080 4827992,Fasano,27,Central Apulia,76,Italy,Masseria,5,40.86362,17.38699
357,Byblos Art Hotel Villa Amistà,"Via Cedrare, 78",37029,+39 0456855555,+39 0456855500,San Pietro in Cariano,322,Veneto,8973,Italy,Hotel,5,45.48972,10.89906
358,Hotel Albaruja,"Via Cristoforo Colombo, 1",09043,+39 070 991557,+39 070 991415,Costa Rei,801,Cagliari & Vicinity,8943,Italy,Hotel,4,39.25268,9.57239
359,Hotel Garden Beach,Località Cala Sinzias,09040,+39 070 995037,+39 070 995082,Costa Rei - Castiadas,436,Cagliari & Vicinity,8943,Italy,Hotel Club,4,39.19642,9.56089
360,Le Residenze Mare dell'Imperatore,Via Machiavelli 36,09100,+39 070 9916140,+39 070 9919100,Costa Rei,801,Cagliari & Vicinity,8943,Italy,Appartamento,0,39.42246,9.57389
364,Villa Zina Park Hotel,"Via Viterbo, 20",91015,+39 0923 973937,+39 0923973518,Custonaci,125,Sicily,3,Italy,Hotel Club,4,38.07647,12.70218
365,Hotel Aegusa,"Via Garibaldi, 11",91023,+39 0923 921739,+39 0923 1982010,Favignana Island,231,Sicily,3,Italy,Hotel,3,37.9307,12.32802
366,Cave Bianche Hotel,Strada Comunale Fanfalo,91023,+39 0923925451,+39 0923921463,Favignana Island,231,Sicily,3,Italy,Hotel,4,37.91225,12.35516
369,Case Vacanza Gallipoli,"Via Gian Battista Vico, 61/63",73014,+39 0833 281613,+39 0833 1808011,Gallipoli,119,Salento,77,Italy,Appartamento,0,40.05561,17.98895
371,Gallipoli Apartments,Loc. Gallipoli,73014,+39 3938230518,+39 08321831422,Gallipoli,119,Salento,77,Italy,Appartamento,0,40.04822,18.00247
374,Grand Hotel Costa Brada,Lit. Gallipoli - Santa Maria di Leuca,73014,+39 0833 202551,+39 0833 202551,Gallipoli,119,Salento,77,Italy,Hotel,4,40.02307,18.02138
375,Gallipoli Resort,Strada Provinciale 52,73014,+39 0833 201396,+39 0833 201394,Gallipoli,119,Salento,77,Italy,Hotel,4,40.0722,18.02189
376,Hotel 33 Baroni & Palazzo Piro,"Via Giuseppe Mazzini, 23",73014,+39 0833 263227,,Gallipoli,119,Salento,77,Italy,Hotel,4,40.05543,17.98702
380,Case Vacanza Rivabella,Varie sistemazioni nella zona di Rivabella,73014,+39 0833 281613,,Gallipoli,119,Salento,77,Italy,Appartamento,0,40.08529,18.01311
381,Victoria Palace Hotel & Spa,Via Francesco Petrarca,73014,+39 0833 293040,+39 0833 293055,Gallipoli,119,Salento,77,Italy,Hotel,4,40.05023,18.00444
385,Favignana Hotel Concept Holiday,"C/da Badia - via Circonvallazione, 8",91023,+39 0923 925449,+39 0923 921727,Favignana Island,231,Sicily,3,Italy,Hotel,3,37.92939,12.3338
386,Residence Favignana,"Via Mons. Giovanni Cipolla, 3",91023,+39 0923 922242,+39 0923 922242,Favignana Island,231,Sicily,3,Italy,Case Vacanza,0,37.92951,12.33208
387,Unahotels Naxos Beach,"Via Recanati, 26",98035,+39 09426611,+39 094251573,Giardini Naxos,34,Sicily,3,Italy,Hotel Club,4,37.81408,15.26135
391,Hellenia Yachting Hotel,"Via Jannuzzo, 41",98035,+39 0942 51737,+39 0942 54310,Giardini Naxos,34,Sicily,3,Italy,Hotel,4,37.8169,15.266
395,Hotel Arathena Rocks,"Via Calcide Eubea, 55",98035,+39 0942 51348,,Giardini Naxos,34,Sicily,3,Italy,Hotel,4,37.82082,15.27304
396,Hotel Kalos,"Via Calcide Eubea, 29",98035,+39 0942 52116,,Giardini Naxos,34,Sicily,3,Italy,Hotel,3,37.82177,15.2736
397,Hotel Sabbie D'Oro,"Via Schiso', 12",98035,+39 0942 51227,+39 0942 56913,Giardini Naxos,34,Sicily,3,Italy,Hotel,4,37.82426,15.2703
399,Sporting Baia Hotel,"Via Lungomare Schisò, 2",98035,+39 0942 51733,+39 0942 52073,Giardini Naxos,34,Sicily,3,Italy,Hotel,4,37.82466,15.27005
400,Hotel Villa Daphne,Via Dioniso,98035,+39 0942 54394,+39 0942 653075,Giardini Naxos,34,Sicily,3,Italy,Hotel,4,37.81847,15.26474
403,Villa Athena,"Via Schisò, 265",98035,+39 094252088,,Giardini Naxos,34,Sicily,3,Italy,Hotel,3,37.82464,15.26984
404,Hotel Insula,"Via Manin, 2",91023,+39 0923 925437,,Favignana Island,231,Sicily,3,Italy,Hotel,3,37.92868,12.32754
405,GH Hotel Avalon Sikanì,Contrada Licari,98063,+39 0941 301100,+39 0941 302158,Gioiosa Marea,50,Sicily,3,Italy,Hotel Club,4,38.1792,14.90307
406,Gabbiano Azzurro Hotel & Suites,Via dei Gabbiani,07020,+39 0789 46929,+39 0789 615056,Golfo Aranci,188,Olbia & Vicinity,6,Italy,Hotel,4,41.00309,9.61455
407,Miramare Residence,SP Punta Sottile 10,91023,+39 0923 921330,+39 0923 922200,Favignana Island,231,Sicily,3,Italy,Residence,0,37.92252554,12.31916784
408,Colonna Hotel Du Golf,Strada Panoramica Costa Smeralda Km. 6,07026,+39 0789 33004,+39 0789 33477,Golfo di Cugnana,11307,Olbia & Vicinity,6,Italy,Hotel,4,41.01824,9.51156
409,Nido del Pellegrino,C/da Grosso,90123,+39 0923 921167,,Favignana Island,231,Sicily,3,Italy,Case Vacanza,0,37.91971,12.30593
410,Residence Punta Longa,"Via Costiera di Mezzogiorno, 1",91023,+39 340 256 0429,+39 0923 925435,Favignana Island,231,Sicily,3,Italy,Residence,0,37.92037,12.32082
412,Baia de Bahas Residence,Loc. Baja de Bahas - Marana,07026,+39 0789 30060,+39 0789 30060,Golfo Aranci,188,Olbia & Vicinity,6,Italy,Residence,0,41.00207,9.57022
413,Colonna Beach Hotel,Loc. Golfo di Marinella,07020,+39 0789 30094,+39 0789 30096,Golfo Aranci,188,Olbia & Vicinity,6,Italy,Hotel,4,40.99998,9.556
418,Culture Hotel Centro Storico,"Via Monteoliveto, 15",80134,+39 081 5529435,+39 081 4288053,Naples Historical Centre,333,Naples & Vicinity,73,Italy,Hotel,4,40.84429,14.2518
419,Grand Hotel Oriente,"Via Armando Diaz, 44",80134,+39 081 5512133,+39 081 5514916,Plebiscito,338,Naples & Vicinity,73,Italy,Hotel,4,40.84255,14.25021
420,Hotel Naples,"Corso Umberto I, 55",80132,+39 081 5517055,+39 081 0091209,Port of Naples,340,Naples & Vicinity,73,Italy,Hotel,4,40.84499,14.25782
422,Hotel Regina Palace Terme,"Via Edgardo Cortese, 18",80077,+39 081991344,,Ischia,14,Ischia Island,67,Italy,Hotel,4,40.7391,13.95026
423,Excelsior Belvedere Hotel & Spa,"Via E. Gianturco, 19",80077,+39 081 991522,,Ischia,14,Ischia Island,67,Italy,Hotel,5,40.74041,13.95329
424,Punta Molino Beach Resort & Thermal Spa,"Via Cristoforo Colombo, 23",80077,+39 081 991544,,Ischia,14,Ischia Island,67,Italy,Hotel,5,40.73945,13.95455
425,Hotel Bellevue Benessere & Relax,"Via Morgioni, 95",80077,+39 081 991851,,Ischia,14,Ischia Island,67,Italy,Hotel,4,40.73558,13.941
427,Central Park Hotel Terme,"Via Alfredo De Luca, 4",80077,+39 081993517,+39 081984215,Ischia,14,Ischia Island,67,Italy,Hotel,4,40.73858,13.94828
